10:46:30.581 [main] INFO  TSM_201 - 300 - Component started.
10:46:30.597 [main] INFO  TSM_202 - 300 - Component started.
10:46:30.597 [main] INFO  TSM_203 - 300 - Component started.
10:46:30.597 [main] INFO  initializer - 303 - Message published: TurnoutDirectionSignal(sender: 201, direction: STRAIGHT).
10:46:30.597 [main] INFO  initializer - 303 - Message published: TurnoutDirectionSignal(sender: 202, direction: STRAIGHT).
10:46:30.597 [main] INFO  initializer - 303 - Message published: TurnoutDirectionSignal(sender: 203, direction: STRAIGHT).
10:46:30.597 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:46:30 CET 2016).
10:46:30.597 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:46:30 CET 2016).
10:46:30.597 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:46:30 CET 2016).
10:46:30.597 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 203 (DIVERGENT), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:46:30 CET 2016).
10:46:30.597 [MQTT Call: initializer] INFO  initializer - 304 - Message received: TurnoutDirectionSignal(sender: 201, direction: STRAIGHT).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: TurnoutDirectionSignal(sender: 202, direction: STRAIGHT).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: TurnoutDirectionSignal(sender: 203, direction: STRAIGHT).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 104, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 102, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 105, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 101, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 106, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:46:30 CET 2016).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:46:30 CET 2016).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 103, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 203, target: 108, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 203, target: 109, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 203, target: 107, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:46:30 CET 2016).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 203 (DIVERGENT), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:46:30 CET 2016).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 104, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 105, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 106, control: ENABLED).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:46:30 CET 2016).
10:46:30.612 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:46:30 CET 2016).
10:46:31.581 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:46:31 CET 2016).
10:46:31.604 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:46:31 CET 2016).
10:46:31.604 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:46:31 CET 2016).
10:46:31.620 [main] INFO  initializer - 303 - Message published: SectionOccupancySignal(sender: 101, occupancy: OCCUPIED).
10:46:31.620 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 203 (DIVERGENT), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:46:31 CET 2016).
10:46:31.620 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionOccupancySignal(sender: 101, occupancy: OCCUPIED).
10:46:31.620 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 102, control: ENABLED).
10:46:31.620 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 101, control: ENABLED).
10:46:31.620 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 103, control: ENABLED).
10:46:31.620 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: DENIED, timestamp: Wed Nov 09 10:46:31 CET 2016).
10:46:31.635 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 104, control: ENABLED).
10:46:31.635 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 105, control: ENABLED).
10:46:31.635 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 202, target: 106, control: ENABLED).
10:46:31.635 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:46:31 CET 2016).
10:46:31.635 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:46:31 CET 2016).
10:46:32.588 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: DENIED, timestamp: Wed Nov 09 10:46:32 CET 2016).
10:46:32.611 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 203 (DIVERGENT), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:46:32 CET 2016).
10:46:32.611 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (FACING), target: 201, status: ALLOWED, timestamp: Wed Nov 09 10:46:32 CET 2016).
10:46:32.611 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 202 (DIVERGENT), target: 203, status: ALLOWED, timestamp: Wed Nov 09 10:46:32 CET 2016).
10:46:32.627 [main] INFO  initializer - 303 - Message published: SectionOccupancySignal(sender: 101, occupancy: FREE).
10:46:32.627 [main] INFO  initializer - 303 - Message published: SectionOccupancySignal(sender: 102, occupancy: OCCUPIED).
10:46:32.627 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionOccupancySignal(sender: 101, occupancy: FREE).
10:46:32.627 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionOccupancySignal(sender: 102, occupancy: OCCUPIED).
10:46:32.627 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 102, control: ENABLED).
10:46:32.627 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 101, control: ENABLED).
10:46:32.627 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 103, control: ENABLED).
10:46:32.642 [MQTT Call: initializer] INFO  initializer - 304 - Message received: HeartBeatSignal(sender: 201 (FACING), target: 202, status: ALLOWED, timestamp: Wed Nov 09 10:46:32 CET 2016).
10:46:32.642 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 102, control: ENABLED).
10:46:32.642 [MQTT Call: initializer] INFO  initializer - 304 - Message received: SectionControlSignal(sender: 201, target: 101, control: ENABLED).
